순번,관광지명,관광지 영문명,관광지 주소,관광지 전화번호,장애인 화장실,장애인 주차장,휠체어 대여 여부,관광지 수유실 보유,휴게실 보유
1,제주4.3평화공원,JEJU43PA,제주특별자치도 제주시 명림로 430,064-723-4352,7,4,Y,Y,Y
2,신산공원,SHINSANPA,제주특별자치도 제주시 일도이동 830,064-728-3604,3,1,N,N,N
3,제주문예회관,JEJUCULTURE,제주특별자치도 제주시 동광로 69,064-710-7632,2,3,N,Y,Y
4,탑동광장,TAPDONGSQ,제주특별자치도 제주시 중앙로 2,064-728-3453,1,3,N,Y,N
5,도두사수항,DODUSASUPORT,제주특별자치도 제주시 도두이동 836-7,,1,1,N,N,N
6,어영공원,EOYOUNGPA,제주특별자치도 제주시 용담삼동 2396-16,,1,1,N,N,N
7,용두암,DRAGONHEAD,제주특별자치도 제주시 용두암길 15,064-728-3918,1,1,N,N,N
8,용연구름다리산책로,GUREUMDARI,제주특별자치도 제주시 용담이동 2581,,1,0,N,N,N
9,한라수목원,HALLAARBOR,제주특별자치도 제주시 수목원길 72,064-710-7575,2,2,N,N,N
10,제주삼양동유적,SAMYANGRUINS,제주특별자치도 제주시 선사로2길 13,064-710-6806,2,1,Y,Y,N
11,"산지천갤러리,산짓물공원",SJCGALLERY,제주특별자치도 제주시 중앙로3길 36,064-725-1208,1,1,N,N,N
12,제주목관아,MOKGWANA,제주특별자치도 제주시 관덕로 25,064-710-6714,1,1,Y,N,N
13,제주민속자연사박물관,JEJUFOLKMU,제주특별자치도 제주시 삼성로 40,064-710-7708,3,1,Y,Y,Y
14,제주교육박물관,EDUMU,제주특별자치도 제주시 오복4길 25,064-720-9114,2,1,Y,N,Y
15,제주대학교박물관,JEJUUNIMU,제주특별자치도 제주시 제주대학로 102,064-754-2242,2,0,N,N,N
16,한라산국립공원산악박물관,HALLAMOMU,제주특별자치도 제주시 산록북로 588,064-710-4634,2,1,N,N,N
17,제주아트센터,ARTCENTER,제주특별자치도 제주시 오남로 231,064-728-1509,1,2,Y,Y,Y
18,설문대여성문화센터,SWCENTER,제주특별자치도 제주시 선덕로8길 12,064-710-4202,7,1,N,Y,N
19,제주도립미술관 ,JEJUARTMU,제주특별자치도 제주시 1100로 2894-78,064-710-4300,2,2,N,Y,N
20,한마음근린공원,HANMAEUMPA,제주특별자치도 제주시 이도2동 1942-1,,1,0,N,N,N
21,송악산전망대,SONGAK,제주특별자치도 서귀포시 대정읍 상모리 산 2-13,,0,1,N,N,N
22,제주추사관,CHUSA,제주특별자치도 서귀포시 대정읍 추사로 44,064-710-6802,1,1,N,N,N
24,제주현대미술관,JEJUCONTEM,제주특별자치도 제주시 한경면 저지14길 35,064-710-7801,1,1,Y,Y,N
25,제주도립김창열미술관,KIMCHANG,제주특별자치도 제주시 한림읍 용금로 883-5,064-710-4150,2,1,Y,Y,N
26,이호테우해수욕장,IHOTEUB,제주특별자치도 제주시 이호일동 1665-13,064-728-3993,1,1,N,N,N
27,싱계물공원,SINGYEPA,제주특별자치도 제주시 한경면 신창리 1322-1,,1,1,N,N,N
28,낙천의자공원,CHAIRPA,제주특별자치도 제주시 한경면 낙수로 97,064-773-1946,1,0,N,N,N
29,용머리해안기후변화홍보관,CLIMATE,제주특별자치도 서귀포시 안덕면 사계남로216번길 24-34,064-722-9506,2,1,N,N,N
30,천제연폭포,CHONJEYEON,제주특별자치도 서귀포시 천제연로 132,064-760-6331,1,1,N,Y,N
31,제주국제평화센터,INTERNPEACE,제주특별자치도 서귀포시 중문관광로 227-24,064-735-6550,1,1,N,Y,N
32,주상절리,JUSANGJEOLRI,제주 서귀포시 이어도로 36-24,064-738-1521,1,1,N,N,N
33,김정문화회관,KIMJUNG,제주특별자치도 서귀포시 김정문화로 36,064-760-3579,1,1,N,N,N
34,서귀포칠십리시공원,SEVENTY,제주특별자치도 서귀포시 서홍동 576-9,,2,2,N,N,N
35,천지연폭포,CHONJIYEON,제주특별자치도 서귀포시 서홍동 2565,064-733-1528,2,1,N,N,N
36,서복전시관,SEOBOK,제주특별자치도 서귀포시 칠십리로 156-8,064-760-6361,3,2,N,N,N
37,사라봉,SARABONG,제주특별자치도 제주시 사라봉동길 74,064-728-4643,2,0,N,N,N
38,국립제주박물관,JEJUNATIONALMU,제주특별자치도 제주시 일주동로 17,064-720-8000,4,2,Y,Y,N
39,제주항일기념관,HANGIL,제주특별자치도 제주시 조천읍 신북로 303,064-783-2008,2,2,N,N,N
40,만장굴,MANJANGCAVE,제주특별자치도 제주시 구좌읍 만장굴길 182,064-710-7903,1,1,N,N,Y
41,신재생에너지홍보관,CFI,제주특별자치도 제주시 구좌읍 해맞이해안로 712-3,064-720-7490,1,1,N,N,N
42,해녀박물관,HAENYEOMU,제주특별자치도 제주시 구좌읍 해녀박물관길 26,064-782-9898,2,2,Y,Y,N
43,수운근린공원,SOOWOONPA,제주특별자치도 제주시 연삼로 489,064-750-1691,1,1,N,N,N
44,김만덕기념관,MANDEOK,제주특별자치도 제주시 산지로 7,064-759-6090,1,1,N,Y,N
45,제주세계자연유산센터,WNHCENTER,제주특별자치도 제주시 조천읍 선교로 569-36,064-710-6959,1,1,Y,N,N
46,제주돌문화공원,JEJUSTONE,제주특별자치도 제주시 조천읍 남조로 2023,064-710-7731,1,0,N,N,N
47,제주돌박물관,STONEMU,제주특별자치도 제주시 조천읍 남조로 2023,064-710-7731,5,1,N,N,N
48,오백장군갤러리,OBAEK,제주특별자치도 제주시 조천읍 남조로 2023,064-710-7731,1,0,N,N,Y
49,서귀포치유의숲,HEALING,제주특별자치도 서귀포시 산록남로 2271,064-760-3067,1,2,N,Y,N
50,이중섭미술관,LEEJUNG,제주특별자치도 서귀포시 이중섭로 27-3,064-760-3567,2,1,N,N,N
51,새연교,NEWBRIDGE,제주특별자치도 서귀포시 서홍동 707-4,064-760-2654,1,1,N,N,N
52,서귀포예술의전당,SEOGWIART,제주특별자치도 서귀포시 태평로 270,064-760-3343,3,2,N,Y,N
53,서귀포시립기당미술관,GIDANG,제주특별자치도 서귀포시 남성중로 153번길 15,064-733-1586,1,1,Y,Y,N
54,한국야구명예의전당,BASEBALLFAME,제주특별자치도 서귀포시 중산간서로 97-1,064-760-6411,1,1,N,N,N
55,서귀포천문과학문화관,SEOGWIASTRO,제주특별자치도 서귀포시 1100로 506-1,064-739-9701,1,2,N,N,N
56,"노루생태관찰원(먹이주기, 전시관)",NORUEXHIBIT,제주특별자치도 제주시 명림로 520,064-728-3611,1,0,N,N,N
57,"노루생태관찰원(체험학습실, 연못)",NORUPOND,제주특별자치도 제주시 명림로 520,064-728-3611,2,1,N,N,N
58,절물자연휴양림(실내산림욕체험관),JEOLMULFOREST,제주특별자치도 제주시 명림로 584,064-728-1510,1,1,N,N,N
59,절물자연휴양림(잔디광장),JEOLMULLAWN,제주특별자치도 제주시 명림로 584,064-728-1510,1,0,N,Y,N
60,사려니숲길,SARANI,제주특별자치도 제주시 조천읍 교래리 산 137-1,064-900-8800,1,2,N,N,N
61,붉은오름자연휴양림(무장애나눔숲길),REDOREUMROAD,제주특별자치도 서귀포시 표선면 남조로 1487-73,064-782-9171,1,0,N,N,N
62,붉은오름자연휴양림(삼나무데크),REDOREUMDECK,제주특별자치도 서귀포시 표선면 남조로 1487-73,064-782-9171,2,1,N,N,N
63,항몽유적지,ANTIMONG,제주특별자치도 제주시 애월읍 항파두리로 50,064-710-6720,2,1,N,N,N
64,제주안전체험관,SAFETYCENTER,제주특별자치도 제주시 애월읍 평화로 1885,064-710-4010,3,1,N,Y,N
65,한림작은영화관,SMALLTHEATER,제주특별자치도 제주시 한림읍 한림중앙로 71-9,064-796-0813,1,1,N,N,N
66,제주고산리유적,GOSANRIRUINS,제주특별자치도 제주시 한경면 노을해안로 1100,064-772-0041,1,1,N,N,Y
67,예술곶산양,SANYANG,제주특별자치도 제주시 한경면 중산간서로 3181,070-8990-8200,1,1,N,Y,N
68,제주항공우주박물관,AEROSPACEMU,제주특별자치도 서귀포시 안덕면 녹차분재로 218,064-800-2114,1,2,N,Y,N
69,제주한란전시관,HALLANEX,제주특별자치도 서귀포시 돈내코로 67번길 19,064-710-6861,2,1,Y,N,Y
70,감귤박물관,GAMGYUL,제주특별자치도 서귀포시 효돈순환로 441,064-760-6401,1,2,N,N,N
71,헌마공신김만일기념관,KIMMAN,제주특별자치도 서귀포시 남원읍 서성로 919,064-805-9801,1,1,N,Y,N
72,비자림,BIJARIM,제주특별자치도 제주시 구좌읍 비자숲길 55,064-710-7912,1,1,N,N,N
73,김영갑갤러리두모악,DUMOAK,제주특별자치도 서귀포시 성산읍 삼달로 137,064-784-9907,1,1,N,N,N
74,섭지코지,SEOPJIKOJI,제주특별자치도 서귀포시 성산읍 섭지코지로 107,064-784-2810,1,1,N,N,N
75,제주자연생태공원,JEJUNATUREPA,제주특별자치도 서귀포시 성산읍 금백조로 448,064-787-4711,1,1,N,N,N
76,예술공간이아,ARTSPACEIAA,제주특별자치도 제주시 중앙로14길 21,064-800-9331,2,0,N,N,N
77,용담레포츠공원,LEPORTSPA,제주특별자치도 제주시 용담삼동 1071,064-728-3929,1,1,N,N,N
78,제주문학관,JEJULITERMU,제주특별자치도 제주시 연북로 339,064-710-3490,2,1,N,Y,N
79,삼무공원,SAMMUPA,제주특별자치도 제주시 연동 270-3,064-746-0227,1,0,N,N,N
80,누웨마루거리,NUWEMARU,제주특별자치도 제주시 신대로12길 52 ,064-728-3916,1,1,N,N,N
81,교래자연휴양림(숲속의초가),GYORAEHOUSE,제주특별자치도 제주시 조천읍 남조로 2023,064-783-7482,1,1,N,N,N
82,교래자연휴양림(생태체험관),GYORAECENTER,제주특별자치도 제주시 조천읍 남조로 2023,064-783-6047,1,0,N,N,N
83,너븐숭이4.3기념관,STONE43,제주특별자치도 제주시 조천읍 북촌3길 3,064-783-4303,1,1,N,N,N
84,제주웰컴센터,WELCOME,제주특별자치도 제주시 선덕로 23,064-740-6000,1,1,Y,N,Y
85,제주미래교육연구원과학탐구체험관,SCIENCE,제주특별자치도 제주시 산록북로 421,064-710-0800,1,1,N,N,Y
86,제주별빛누리공원,STARLIGHT,제주특별자치도 제주시 선돌목동길 60,064-728-8900,2,1,Y,Y,N
87,메이즈랜드,MAZELAND,제주특별자치도 제주시 구좌읍 비자림로 2134-47,064-784-3838,4,1,Y,N,N
88,김녕미로공원,GIMNYEONGMAZEPA,제주특별자치도 제주시 구좌읍 만장굴길 122,064-782-9266,1,1,Y,N,N
89,제주밭담테마공원,BATDAMPA,제주특별자치도 제주시 구좌읍 월정리 1400-14,064-710-3052,1,1,N,N,N
90,소인국테마파크,SOINGOOK,제주특별자치도 서귀포시 안덕면 중산간서로 1878,064-793-5400,1,1,N,N,N
91,헬로키티아일랜드,KITTY,제주특별자치도 서귀포시 안덕면 한창로 340,064-792-6114,1,1,N,Y,N
92,본태박물관,BONTEMU,제주특별자치도 서귀포시 안덕면 산록남로 762번길 69,064-792-8108,1,1,N,N,N
93,제주민속촌,JEJUFOLKVIL,제주특별자치도 서귀포시 표선면 민속해안로 631-34,064-787-4501,3,1,N,Y,N
94,제주허브동산,HERBDONGSAN,제주특별자치도 서귀포시 표선면 돈오름로 170,064-787-7362,1,1,N,N,N
95,상효원수목원,SANGHYO,제주특별자치도 서귀포시 산록남로 2847-37,064-733-2200,1,1,Y,N,N
96,휴애리자연생활공원,HUEREE,제주특별자치도 서귀포시 남원읍 신례동로 256,064-732-2114,1,1,Y,Y,Y
97,제주대학교아라뮤즈홀,JNUARAHALL,제주특별자치도 제주시 제주대학로 102,064-754-4697,1,1,N,N,Y
98,렛츠런파크제주,LETSRUNPA,제주특별자치도 제주시 애월읍 평화로 2144,1566-3333,3,1,N,N,N
99,도두봉둘레길,DODUBONG,제주특별자치도 제주시 도두일동 산 2,064-710-6043,1,0,N,N,N
100,삼성혈,SAMSUNGHYEOL,제주특별자치도 제주시 삼성로 22,064-722-3315,2,1,Y,Y,N
101,서귀포자연휴양림,SEOGWIFOREST,제주특별자치도 서귀포시 1100로 882,064-738-4544,1,2,Y,N,Y
102,1100고지습지,1100GOJI,제주특별자치도 서귀포시 색달동 산 1-2,064-728-6200,1,1,N,N,N
103,서프라이즈테마파크,SURPRISE,제주특별자치도 제주시 조천읍 남조로 2243,064-783-7272,1,1,N,N,N
104,스누피가든,SNOOPYGARDEN,제주특별자치도 제주시 구좌읍 금백조로 916,064-784-0930,1,1,Y,Y,Y
105,한림공원(아열대식물원),HALLIMPAGARDEN,제주특별자치도 제주시 한림읍 한림로 300,064-796-0001,1,1,Y,N,N
106,한림공원(산야초원),HALLIMPAPASTURE,제주특별자치도 제주시 한림읍 협재리 2650,064-796-0001,1,0,N,N,N
107,한림공원(재암민속마을),HALLIMPAVILLAGE,제주특별자치도 제주시 한림읍 한림로 300,064-796-0001,2,0,N,N,N
108,한림공원(제주석분재원),HALLIMPASTONE,제주특별자치도 제주시 한림읍 한림로 300,064-796-0001,1,0,N,N,N
