card_id,place_name,field,field_label,ai_suggested_status,ai_suggested_evidence_image_file_names,ai_suggested_note,ai_confidence,human_final_status,human_evidence_image_file_names,human_reviewer_note,human_reviewer,human_reviewed_at,available_image_file_names
jeju_roadview_place_038,국립제주박물관,entrance_step_or_ramp,출입구 단차/경사로,,,,,,,,,,JEJUNATIONALMU-1-001;JEJUNATIONALMU-1-027;JEJUNATIONALMU-1-053;JEJUNATIONALMU-2-019;JEJUNATIONALMU-2-045;JEJUNATIONALMU-2-070
jeju_roadview_place_038,국립제주박물관,main_path_slope,주요 동선 경사,,,,,,,,,,JEJUNATIONALMU-1-001;JEJUNATIONALMU-1-027;JEJUNATIONALMU-1-053;JEJUNATIONALMU-2-019;JEJUNATIONALMU-2-045;JEJUNATIONALMU-2-070
jeju_roadview_place_038,국립제주박물관,surface_condition,바닥 상태,,,,,,,,,,JEJUNATIONALMU-1-001;JEJUNATIONALMU-1-027;JEJUNATIONALMU-1-053;JEJUNATIONALMU-2-019;JEJUNATIONALMU-2-045;JEJUNATIONALMU-2-070
jeju_roadview_place_038,국립제주박물관,parking_to_entrance_route,주차장-출입구 동선,,,,,,,,,,JEJUNATIONALMU-1-001;JEJUNATIONALMU-1-027;JEJUNATIONALMU-1-053;JEJUNATIONALMU-2-019;JEJUNATIONALMU-2-045;JEJUNATIONALMU-2-070
jeju_roadview_place_088,김녕미로공원,entrance_step_or_ramp,출입구 단차/경사로,,,,,,,,,,GIMNYEONGMAZEPA-1-001;GIMNYEONGMAZEPA-1-004;GIMNYEONGMAZEPA-1-007;GIMNYEONGMAZEPA-1-009;GIMNYEONGMAZEPA-1-012;GIMNYEONGMAZEPA-1-015
jeju_roadview_place_088,김녕미로공원,main_path_slope,주요 동선 경사,,,,,,,,,,GIMNYEONGMAZEPA-1-001;GIMNYEONGMAZEPA-1-004;GIMNYEONGMAZEPA-1-007;GIMNYEONGMAZEPA-1-009;GIMNYEONGMAZEPA-1-012;GIMNYEONGMAZEPA-1-015
jeju_roadview_place_088,김녕미로공원,surface_condition,바닥 상태,,,,,,,,,,GIMNYEONGMAZEPA-1-001;GIMNYEONGMAZEPA-1-004;GIMNYEONGMAZEPA-1-007;GIMNYEONGMAZEPA-1-009;GIMNYEONGMAZEPA-1-012;GIMNYEONGMAZEPA-1-015
jeju_roadview_place_088,김녕미로공원,parking_to_entrance_route,주차장-출입구 동선,,,,,,,,,,GIMNYEONGMAZEPA-1-001;GIMNYEONGMAZEPA-1-004;GIMNYEONGMAZEPA-1-007;GIMNYEONGMAZEPA-1-009;GIMNYEONGMAZEPA-1-012;GIMNYEONGMAZEPA-1-015
jeju_roadview_place_100,삼성혈,entrance_step_or_ramp,출입구 단차/경사로,,,,,,,,,,SAMSUNGHYEOL-1-001;SAMSUNGHYEOL-1-011;SAMSUNGHYEOL-1-021;SAMSUNGHYEOL-1-032;SAMSUNGHYEOL-1-042;SAMSUNGHYEOL-3-004
jeju_roadview_place_100,삼성혈,main_path_slope,주요 동선 경사,,,,,,,,,,SAMSUNGHYEOL-1-001;SAMSUNGHYEOL-1-011;SAMSUNGHYEOL-1-021;SAMSUNGHYEOL-1-032;SAMSUNGHYEOL-1-042;SAMSUNGHYEOL-3-004
jeju_roadview_place_100,삼성혈,surface_condition,바닥 상태,,,,,,,,,,SAMSUNGHYEOL-1-001;SAMSUNGHYEOL-1-011;SAMSUNGHYEOL-1-021;SAMSUNGHYEOL-1-032;SAMSUNGHYEOL-1-042;SAMSUNGHYEOL-3-004
